"Cite as: CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at:Êhttp://cait.wri.org.Ê Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2Êemissions from fuel combustion data should be cited as CO2ÊEmissions from Fuel Combustion, ©OECD/IEA, 2014.",,,,,,,,,,,,,,,,,,,,,
,,Total GHG,,Emissions by Gas excluding LUCF,,,,Emissions by Gas including LUCF,,,Emissions by Sector,,,,,,Emissions by Energy Sub-Sector,,,,
Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?),Total CO2 (excluding Land-Use Change and Forestry) (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Total CO2 (including Land-Use Change and Forestry) (MtCO2),Total CH4 (including Land-Use Change and Forestry) (MtCO2e),Total N2O (including Land-Use Change and Forestry) (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Angola,1994,57.9605,110.6316,6.7822,36.2567,14.9174,0.0042,47.171072,45.11942121,18.33691705,30.7736,0.1251,26.5109,0.5709,52.6711,1.33,0.42,1.68,1.53,1.6666,25.477
Angola,1995,63.2909,115.9614,10.8677,37.5008,14.9178,0.0047,51.255898,46.36346697,18.3373438,36.1649,0.1036,26.4375,0.5849,52.6705,1.2,0.41,1.83,1.06,1.7197,31.1452
Angola,1996,63.7804,120.3827,11.4655,37.9443,14.3627,0.0079,51.663508,49.67124259,19.04004372,37.5013,0.1434,25.529,0.5968,56.6022,1.04,0.43,1.91,0.98,1.9887,32.1925
Angola,1997,64.5449,119.0531,11.784,38.6295,14.1204,0.011,51.649574,49.11065821,18.28177364,38.6002,0.1613,25.1747,0.6087,54.5082,1.05,0.66,1.77,1.04,2.0178,33.1125
Angola,1998,67.9319,127.8072,11.7163,40.6139,15.5875,0.0142,52.128052,54.48518382,21.17972355,39.2921,0.1901,27.8292,0.6206,59.8753,0.67,0.61,1.6,0.83,2.1469,34.1052
Angola,1999,67.8067,125.7902,12.8107,40.5486,14.43,0.0174,52.693172,53.44223944,19.63743347,41.2349,0.12,25.8094,0.6325,57.9835,1.18,0.87,1.61,1.14,2.4259,35.189
Angola,2000,69.3905,123.2677,12.825,41.698,14.847,0.0205,53.112578,51.46714506,18.66745339,42.048,0.1195,26.5787,0.6444,53.8772,1.42,0.96,2.02,1.06,2.245,35.763
Angola,2001,74.3634,121.3547,13.4909,45.7907,15.0542,0.0277,52.48398,51.59322047,17.24978649,46.4547,0.3025,26.9006,0.7057,46.9912,1.53,1.06,2.16,1.19,2.4152,39.6295
Angola,2002,78.8565,129.1985,14.3113,49.5838,14.9265,0.0348,54.735584,56.79970589,17.6284396,51.1698,0.3316,26.588,0.7671,50.3421,1.32,1.07,2.42,1.47,2.4954,43.7144
Angola,2003,90.5141,140.9043,18.688,54.9579,16.8263,0.0419,59.51006,61.9508713,19.40140271,59.4118,0.39,29.8838,0.8285,50.3902,0.79,1.24,2.48,2.73,2.5956,50.3662
Angola,2004,96.1123,149.1673,19.4644,59.231,17.3678,0.0491,61.015252,67.61198671,20.49101581,64.0856,0.4265,30.7204,0.8899,53.055,1.29,0.89,2.52,3.11,2.6958,54.8698
Angola,2005,99.2745,152.675,18.6439,63.2728,17.3015,0.0562,60.334186,71.80480213,20.47973892,66.8932,0.7121,30.7179,0.9513,53.4005,0.9,1,2.04,2.43,2.446,58.9773
Angola,2006,106.1246,155.7864,20.7232,69.7323,15.6048,0.0644,60.133878,77.12761311,18.460596,76.4626,0.7495,27.7269,1.1857,49.6618,0.8,1.09,2.25,3.23,3.4315,66.4611
Angola,2007,118.893,169.9666,23.403,78.4728,16.9447,0.0725,64.69909,85.63651409,19.55849308,86.6607,0.7687,30.0537,1.42,51.0736,1.2,1.21,2.43,3.82,3.837,75.3637
Angola,2008,126.7638,176.7993,25.0796,85.5686,16.0349,0.0806,64.783678,93.03538507,18.89961016,95.6661,0.9673,28.486,1.6544,50.0355,1.29,1.61,2.28,5.1,4.5025,82.1736
Angola,2009,137.002,187.8515,27.2276,93.4529,16.2327,0.0888,66.89192,101.5128361,19.35792724,105.3223,0.9865,28.8145,1.8887,50.8495,1.18,2.47,2.49,5.65,5.078,89.6343
Angola,2010,147.9116,199.3001,28.9468,101.783,17.0849,0.0969,69.028226,109.949787,20.22515431,114.7011,0.8444,30.2431,2.1231,51.3885,1.17,2.63,2.64,6.71,5.3635,97.3576
Angola,2011,150.7501,206.2984,29.2168,103.7437,17.6816,0.108,71.691576,113.2673036,21.23151252,116.4801,0.8554,31.2569,2.1677,55.5483,1.14,2.4,2.73,6.83,5.4293,99.0908
Angola,2012,149.9239,199.7219,29.3342,104.2232,16.2475,0.119,69.15901,111.4465201,18.99732072,118.8437,,28.7588,2.2124,49.7979,1.22,2.38,2.76,7.25,5.745,100.7087
Antigua & Barbuda,1990,0.4227,0.4038,0.3004,0.1091,0.0132,0,0.281538,0.109114607,0.013181,,0,0.0363,0.0852,-0.0189,,,,,,0
Antigua & Barbuda,1991,0.419,0.4002,0.2895,0.1133,0.0133,0.0029,0.270676,0.113303966,0.0133229,,0.0029,0.0362,0.0896,-0.0188,,,,,,0
Antigua & Barbuda,1992,0.4265,0.4079,0.2895,0.1176,0.0135,0.0059,0.270826,0.117643325,0.0135048,,0.0059,0.0363,0.0941,-0.0186,,,,,,0
Antigua & Barbuda,1993,0.449,0.4305,0.3041,0.1221,0.0139,0.0088,0.285642,0.122142685,0.0139267,,0.0088,0.0367,0.0985,-0.0185,,,,,,0
Antigua & Barbuda,1994,0.4644,0.4461,0.3114,0.1268,0.0144,0.0118,0.29312,0.126792044,0.0144286,,0.0118,0.0374,0.1029,-0.0183,,,,,,0
Antigua & Barbuda,1995,0.4834,0.4652,0.3224,0.1313,0.0149,0.0147,0.304262,0.131251404,0.0149405,,0.0147,0.038,0.1074,-0.0182,,,,,,0
Antigua & Barbuda,1996,0.5013,0.4833,0.3224,0.1354,0.0153,0.0282,0.304412,0.135381551,0.0152924,,0.0282,0.038,0.1119,-0.018,,,,,,0
Antigua & Barbuda,1997,0.534,0.5161,0.3371,0.1395,0.0157,0.0416,0.319218,0.139521698,0.0157343,,0.0416,0.0381,0.1164,-0.0179,,,,,,0
Antigua & Barbuda,1998,0.5481,0.5303,0.3334,0.1436,0.016,0.0551,0.315704,0.143561845,0.0160162,,0.0551,0.0379,0.1209,-0.0177,,,,,,0
